// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 65537, parallelism: 0.000, latency: 125, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 32769, parallelism: 0.000, latency: 126, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 16385, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 8193, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 4097, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 2731, parallelism: 0.000, latency: 124, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 2049, parallelism: 0.000, latency: 124, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'address', size: 65537, parallelism: 1.000, latency: 3068, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 32769, parallelism: 1.000, latency: 2983, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 16385, parallelism: 1.000, latency: 2792, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 8193, parallelism: 1.000, latency: 2623, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 4097, parallelism: 1.000, latency: 2576, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 2731, parallelism: 1.000, latency: 2541, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 2049, parallelism: 1.000, latency: 2586, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 65537, parallelism: 1.000, latency: 1874, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 32769, parallelism: 1.000, latency: 1705, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 16385, parallelism: 1.000, latency: 1605, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 8193, parallelism: 1.000, latency: 1522, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 4097, parallelism: 1.000, latency: 1404, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 2731, parallelism: 1.000, latency: 1320, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 2049, parallelism: 1.000, latency: 1311, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 65537, parallelism: 1.000, latency: 3705, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 32769, parallelism: 1.000, latency: 3279, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 16385, parallelism: 1.000, latency: 3156, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 8193, parallelism: 1.000, latency: 3097, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 4097, parallelism: 1.000, latency: 3003, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 2731, parallelism: 1.000, latency: 2568, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 2049, parallelism: 1.000, latency: 2514, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 65537, parallelism: 1.000, latency: 3755, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 32769, parallelism: 1.000, latency: 3289, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 16385, parallelism: 1.000, latency: 3158, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 8193, parallelism: 1.000, latency: 3097, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 4097, parallelism: 1.000, latency: 3002, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 2731, parallelism: 1.000, latency: 2578, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(8)', size: 2049, parallelism: 1.000, latency: 2530, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 65537, parallelism: 1.000, latency: 3696, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 32769, parallelism: 1.000, latency: 3285, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 16385, parallelism: 1.000, latency: 3160, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 8193, parallelism: 1.000, latency: 3099, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 4097, parallelism: 1.000, latency: 3010, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 2731, parallelism: 1.000, latency: 2578, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(16)', size: 2049, parallelism: 1.000, latency: 2533, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 65537, parallelism: 1.000, latency: 3698, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 32769, parallelism: 1.000, latency: 3281, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 16385, parallelism: 1.000, latency: 3162, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 8193, parallelism: 1.000, latency: 3099, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 4097, parallelism: 1.000, latency: 3004, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 2731, parallelism: 1.000, latency: 2583, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(24)', size: 2049, parallelism: 1.000, latency: 2522, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 65537, parallelism: 1.000, latency: 3732, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 32769, parallelism: 1.000, latency: 3421, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 16385, parallelism: 1.000, latency: 3170, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 8193, parallelism: 1.000, latency: 3099, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 4097, parallelism: 1.000, latency: 3007, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2731, parallelism: 1.000, latency: 2586, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'assign(32)', size: 2049, parallelism: 1.000, latency: 2539, iter: 1 },


// Transfer(0.5): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 65537, parallelism: 0.000, latency: 126, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'basic', size: 32769, parallelism: 0.000, latency: 125, iter: 1 },
