// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 65537, parallelism: 0.000, latency: 126, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 32769, parallelism: 0.000, latency: 62, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 16385, parallelism: 0.000, latency: 31, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 8193, parallelism: 0.000, latency: 15, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 4097, parallelism: 0.000, latency: 7, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 2731, parallelism: 0.000, latency: 5, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'basic', size: 2049, parallelism: 0.000, latency: 3, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'address', size: 65537, parallelism: 1.000, latency: 3169, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 32769, parallelism: 1.000, latency: 1537, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 16385, parallelism: 1.000, latency: 694, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 8193, parallelism: 1.000, latency: 312, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 4097, parallelism: 1.000, latency: 152, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 2731, parallelism: 1.000, latency: 57, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'address', size: 2049, parallelism: 1.000, latency: 43, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 65537, parallelism: 1.000, latency: 2040, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 32769, parallelism: 1.000, latency: 928, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 16385, parallelism: 1.000, latency: 437, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 8193, parallelism: 1.000, latency: 206, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 4097, parallelism: 1.000, latency: 93, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 2731, parallelism: 1.000, latency: 60, iter: 1 },
{workload: 'Transfer(0.0)', scheduling: 'read/write', size: 2049, parallelism: 1.000, latency: 44, iter: 1 },

{workload: 'Transfer(0.0)', scheduling: 'assign(4)', size: 65537, parallelism: 1.000, latency: 3926, iter: 1 },
